item_id,url,created_at,poster,title,bounty_sats,category,bounty_paid_via_mechanism,bounty_paid_to_comment,top_level_answers,sats_to_answerers,max_single_answer_sats,answers_with_zero_sats
1507184,https://stacker.news/items/1507184,2026-06-12T16:02:08.435Z,StackerSports,Weekly Random Sports Pick 'em,2100,prediction_contest,True,1507226,11,30,10,8
1509986,https://stacker.news/items/1509986,2026-06-17T13:55:04.960Z,DarthCoin,10k CCs if you prove me how you fucked the gov recently,10000,work,False,,18,14344,10021,11
1511415,https://stacker.news/items/1511415,2026-06-19T16:20:00.005Z,StackerSports,Weekly Random Sports Pick 'em,2100,prediction_contest,True,1511423,10,65,65,9
1513799,https://stacker.news/items/1513799,2026-06-24T00:04:13.585Z,Undisciplined,The Winner of the 2027 NBA Prediction Contest is...,10000,prediction_contest,True,1515909,5,127,64,1
1515426,https://stacker.news/items/1515426,2026-06-26T16:25:08.039Z,StackerSports,Weekly Random Sports Pick 'em,2100,prediction_contest,True,1515465,9,50,50,8
1515489,https://stacker.news/items/1515489,2026-06-26T17:17:15.636Z,Undisciplined,The winner of the NBA Playoff Points Challenge is...,10000,prediction_contest,True,1515750,6,62,62,5
1516588,https://stacker.news/items/1516588,2026-06-28T22:41:49.618Z,Scoresby,1000 sats for evidence of Taproot opposition in 2021,1000,work,True,1516657,6,282,102,3
1519033,https://stacker.news/items/1519033,2026-07-03T17:21:20.259Z,StackerSports,Weekly Random Sports Pick 'em,2100,prediction_contest,True,1519035,14,0,0,14
1522486,https://stacker.news/items/1522486,2026-07-10T15:41:36.787Z,StackerSports,Weekly Random Sports Pick 'em,2100,prediction_contest,True,1523864,12,50,50,11
1523325,https://stacker.news/items/1523325,2026-07-12T11:28:08.901Z,BlokchainB,Daily Stock Discussion ~Stacker_Stocks,10000,prediction_contest,True,1523375,23,142,73,21
1526558,https://stacker.news/items/1526558,2026-07-17T16:54:38.135Z,StackerSports,Random Sports Pick 'em,2100,prediction_contest,True,1527165,12,100,50,10
1527788,https://stacker.news/items/1527788,2026-07-19T11:01:03.063Z,BlokchainB,Daily Stock Discussion ~Stacker_Stocks (🟥 or 🟩 week?),10000,prediction_contest,False,,28,2000,2000,27
1529499,https://stacker.news/items/1529499,2026-07-21T15:35:59.797Z,Brown,Sequential motor starting to prevent voltage drops on local grids,1000,work,False,,10,69,69,9
1529977,https://stacker.news/items/1529977,2026-07-22T07:54:24.290Z,Brown,Explain the basic operation of a PLC in industrial automation,1000,work,False,,8,113,113,7
1530073,https://stacker.news/items/1530073,2026-07-22T13:04:34.599Z,Brown,Best script/tool for PLC sequence & single-line diagrams?,1000,work,False,,9,113,113,8
1531752,https://stacker.news/items/1531752,2026-07-24T15:45:41.390Z,StackerSports,Random Sports Pick 'em,2100,prediction_contest,True,1532528,9,0,0,9
1532486,https://stacker.news/items/1532486,2026-07-25T13:53:42.588Z,Kruw,[500k BOUNTY] DeWhirlpooler visualizer,500000,work,False,,17,5284,5047,10
1533010,https://stacker.news/items/1533010,2026-07-26T06:46:17.772Z,onlybugs05,I want a best research on BTC 1000 Puzzle,400000,work,False,,4,0,0,4
1533094,https://stacker.news/items/1533094,2026-07-26T11:16:05.073Z,BlokchainB,Daily Stock Discussion: Sunday’s Weekly Close Contest 🟥 or 🟩?,10000,prediction_contest,True,1533744,22,3025,3000,19
1537023,https://stacker.news/items/1537023,2026-07-31T15:03:43.213Z,StackerSports,Weekly Random Sports Pick 'em,2100,prediction_contest,True,1537024,11,0,0,11
1538309,https://stacker.news/items/1538309,2026-08-02T11:41:39.108Z,BlokchainB,Daily Stock Discussion Sunday’s Weekly Close Contest 🟥or🟩? Up to 30k sat award,10000,prediction_contest,False,,23,0,0,23
